"filename", "language", "Dart", "Markdown", "Groovy", "Properties", "XML", "JSON", "Java", "YAML", "HTML", "C++", "Swift", "comment", "blank", "total"
"/home/satendra/Workspace/campus health/project/cht/lib/test/randGen.dart", "Dart", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 164
"/home/satendra/Workspace/campus health/project/cht/lib/test/widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"/home/satendra/Workspace/campus health/project/cht/lib/util/AppConstants.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/satendra/Workspace/campus health/project/cht/lib/util/colorConstants.dart", "Dart", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"/home/satendra/Workspace/campus health/project/cht/lib/util/constants.dart", "Dart", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/home/satendra/Workspace/campus health/project/cht/lib/util/theme.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"/home/satendra/Workspace/campus health/project/cht/lib/util/ui_helper.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 53
"/home/satendra/Workspace/campus health/project/cht/pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 32, 18, 100
"/home/satendra/Workspace/campus health/project/cht/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 17, 8, 68
"/home/satendra/Workspace/campus health/project/cht/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 2886, 13, 100, 8, 5338, 260, 743, 50, 43, 1, 12, 1471, 489, 11414
